task_id,title,description,project_id,task_type,status,priority,complexity,estimated_hours,deadline_days,required_skills,dependencies,created_at,due_at,custom_features
task_000088,Documentation #0088 for project_003 [developers],"Generated documentation task with medium priority, complexity 7.547, and required skills: javascript, react, typescript.",project_003,documentation,todo,medium,7.547,6.3,15,"[""javascript"", ""react"", ""typescript""]","[""task_000004"", ""task_000057""]",2026-06-12T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000089,Review #0089 for project_004 [developers],"Generated review task with low priority, complexity 9.56, and required skills: debugging, fastapi.",project_004,review,failed,low,9.56,62.171,2,"[""debugging"", ""fastapi""]",[],2026-06-24T12:37:20.133874+00:00,2026-06-26T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000090,Documentation #0090 for project_002 [developers],"Generated documentation task with low priority, complexity 4.099, and required skills: data_processing, docker, ml, react.",project_002,documentation,done,low,4.099,10.143,8,"[""data_processing"", ""docker"", ""ml"", ""react""]",[],2026-07-07T12:37:20.133874+00:00,2026-07-15T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000091,Feature #0091 for project_002 [developers],"Generated feature task with medium priority, complexity 2.849, and required skills: ci_cd, react.",project_002,feature,blocked,medium,2.849,55.501,8,"[""ci_cd"", ""react""]",[],2026-06-19T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000092,Documentation #0092 for project_001 [developers],"Generated documentation task with low priority, complexity 2.024, and required skills: ci_cd, docker, fastapi, testing.",project_001,documentation,done,low,2.024,3.441,1,"[""ci_cd"", ""docker"", ""fastapi"", ""testing""]",[],2026-06-27T12:37:20.133874+00:00,2026-06-28T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000093,Feature #0093 for project_004 [developers],"Generated feature task with medium priority, complexity 4.521, and required skills: data_processing, docker, javascript, missing_domain_context, sql.",project_004,feature,in_progress,medium,4.521,49.588,25,"[""data_processing"", ""docker"", ""javascript"", ""missing_domain_context"", ""sql""]",[],2026-07-03T12:37:20.133874+00:00,2026-07-28T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000094,Feature #0094 for project_003 [developers],"Generated feature task with high priority, complexity 3.714, and required skills: fastapi.",project_003,feature,review,high,3.714,40.061,25,"[""fastapi""]",[],2026-06-30T12:37:20.133874+00:00,2026-07-25T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000095,Documentation #0095 for project_005 [developers],"Generated documentation task with medium priority, complexity 4.403, and required skills: docker, fastapi, testing, typescript.",project_005,documentation,done,medium,4.403,37.922,31,"[""docker"", ""fastapi"", ""testing"", ""typescript""]",[],2026-06-10T12:37:20.133874+00:00,2026-07-11T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000096,Refactor #0096 for project_002 [developers],"Generated refactor task with medium priority, complexity 3.439, and required skills: fastapi, python, sql, typescript.",project_002,refactor,todo,medium,3.439,64.702,18,"[""fastapi"", ""python"", ""sql"", ""typescript""]",[],2026-06-29T12:37:20.133874+00:00,2026-07-17T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000097,Documentation #0097 for project_002 [developers],"Generated documentation task with low priority, complexity 3.266, and required skills: data_processing, postgresql.",project_002,documentation,review,low,3.266,13.572,30,"[""data_processing"", ""postgresql""]",[],2026-07-02T12:37:20.133874+00:00,2026-08-01T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000098,Feature #0098 for project_003 [developers],"Generated feature task with medium priority, complexity 8.469, and required skills: data_processing, fastapi, postgresql, typescript.",project_003,feature,todo,medium,8.469,37.803,32,"[""data_processing"", ""fastapi"", ""postgresql"", ""typescript""]",[],2026-06-10T12:37:20.133874+00:00,2026-07-12T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000099,Documentation #0099 for project_002 [developers],"Generated documentation task with medium priority, complexity 4.98, and required skills: debugging.",project_002,documentation,todo,medium,4.98,72.1,6,"[""debugging""]",[],2026-06-12T12:37:20.133874+00:00,2026-06-18T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000100,Documentation #0100 for project_004 [developers],"Generated documentation task with low priority, complexity 3.554, and required skills: api_design, ci_cd, ml, react.",project_004,documentation,todo,low,3.554,77.456,23,"[""api_design"", ""ci_cd"", ""ml"", ""react""]",[],2026-06-15T12:37:20.133874+00:00,2026-07-08T12:37:20.133874+00:00,"{""requires_mentor"": false}"
