task_id,plane_work_item_id,plane_issue_id,plane_project_id,project_key,title,description,task_type,required_stack,required_skills,complexity,priority,business_criticality,deadline_days,estimated_hours,dependencies_count,is_growth_task,source,created_at,updated_at
TASK-0271,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Починить некорректный расчёт дедлайна — системы отчётов,Исправить расчёт deadline_days для задач без target date и задач с просроченным сроком. Контекст задачи: billing.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",3,low,3,29,7,4,False,synthetic,2025-01-20T00:00:00,2025-02-03T00:00:00
TASK-0272,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить безопасную обработку API token — экспорта данных,"Проверить, что Plane API token берётся из .env и не сохраняется в git. Контекст задачи: fairness analysis.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",3,low,2,53,54,0,False,synthetic,2025-11-05T00:00:00,2025-11-26T00:00:00
TASK-0273,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить endpoint для статистики команды — интеграции с Plane,"Реализовать backend endpoint, который возвращает агрегированную статистику по задачам и загрузке команды. Контекст задачи: Plane integration.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",3,low,4,32,28,6,False,synthetic,2026-02-07T00:00:00,2026-02-09T00:00:00
TASK-0274,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить карточку рекомендации исполнителя — модуля безопасности,"Показать top-3 кандидатов, score и краткое объяснение на странице задачи. Контекст задачи: analytics.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",2,high,4,33,25,6,False,synthetic,2026-04-24T00:00:00,2026-05-14T00:00:00
TASK-0275,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Собрать отчёт по fairness рекомендаций — модуля командной загрузки,"Проверить, не выбираются ли почти всегда senior и не игнорируются ли junior сотрудники. Контекст задачи: Plane integration.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",3,urgent,3,39,41,2,False,synthetic,2025-12-09T00:00:00,2025-12-11T00:00:00
TASK-0276,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Починить некорректный расчёт дедлайна — интеграции с Plane,Исправить расчёт deadline_days для задач без target date и задач с просроченным сроком. Контекст задачи: Plane integration.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",2,medium,3,3,12,0,False,synthetic,2023-02-06T00:00:00,2023-02-22T00:00:00
TASK-0277,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — интеграции с Plane,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: auth.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",4,urgent,4,9,37,2,False,synthetic,2023-06-01T00:00:00,2023-06-11T00:00:00
TASK-0278,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Рефакторинг расчёта recommendation score — ML-пайплайна,"Выделить отдельные функции для skill, workload, growth и risk score. Контекст задачи: reporting.",refactoring,[],"{""System Design"": 3, ""Testing"": 3, ""code_review"": 3, ""documentation"": 2}",3,low,4,19,41,5,False,synthetic,2026-05-08T00:00:00,2026-05-08T00:00:00
TASK-0279,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Подключить чтение work items из Plane — аналитического dashboard,Получить список задач проекта через Plane API и привести ответ к внутреннему формату COMPASS AI. Контекст задачи: dashboard.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",4,low,4,59,32,8,True,synthetic,2023-03-09T00:00:00,2023-03-20T00:00:00
TASK-0280,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — системы уведомлений,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: model metrics.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",1,high,1,7,1,7,True,synthetic,2025-07-29T00:00:00,2025-08-11T00:00:00
TASK-0281,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить тесты rule-based ranker — пайплайна рекомендаций,"Проверить сортировку top-3, penalty за перегруз и growth mode. Контекст задачи: dashboard.",testing_task,[],"{""API Design"": 2, ""Testing"": 4, ""documentation"": 2}",3,none,3,44,20,2,False,synthetic,2025-09-19T00:00:00,2025-09-26T00:00:00
TASK-0282,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Реализовать baseline для сравнения с нейросетью — модуля авторизации,"Собрать rule-based ranking, чтобы сравнивать ML-модель с понятной эвристикой. Контекст задачи: team workload.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",4,none,5,45,49,6,False,synthetic,2024-06-16T00:00:00,2024-06-21T00:00:00
TASK-0283,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить endpoint для статистики команды — модуля безопасности,"Реализовать backend endpoint, который возвращает агрегированную статистику по задачам и загрузке команды. Контекст задачи: auth.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",3,high,4,35,32,0,False,synthetic,2024-11-01T00:00:00,2024-11-22T00:00:00
TASK-0284,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — аналитического dashboard,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: auth.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",2,high,2,35,2,1,True,synthetic,2024-01-06T00:00:00,2024-01-24T00:00:00
TASK-0285,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить экспорт аналитики в CSV — экспорта данных,"Сформировать CSV-отчёт по задачам, рекомендациям, загрузке и рискам. Контекст задачи: billing.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",3,urgent,5,58,33,0,False,synthetic,2024-10-20T00:00:00,2024-11-10T00:00:00
TASK-0286,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить страницу командной загрузки — экспорта данных,"Сделать UI-страницу с таблицей сотрудников, текущей загрузкой и индикаторами риска. Контекст задачи: analytics.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",2,high,2,25,32,6,False,synthetic,2023-03-27T00:00:00,2023-04-09T00:00:00
TASK-0287,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить миграцию для хранения model scores — интеграции с Plane,"Сохранять score модели, режим рекомендации и дату расчёта. Контекст задачи: billing.",database_migration,"[""PostgreSQL""]","{""PostgreSQL"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",4,medium,3,17,42,2,False,synthetic,2023-08-23T00:00:00,2023-09-09T00:00:00
TASK-0288,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — системы уведомлений,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: reporting.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",3,none,2,59,26,0,True,synthetic,2025-07-06T00:00:00,2025-07-17T00:00:00
TASK-0289,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Настроить CI-проверку линтера и тестов — системы отчётов,Добавить команды проверки кода и тестов для автоматического контроля качества. Контекст задачи: billing.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",4,high,4,58,38,0,False,synthetic,2026-06-14T00:00:00,2026-07-01T00:00:00
TASK-0290,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Настроить Docker Compose для dev-окружения — экспорта данных,Подготовить локальный запуск сервисов COMPASS AI рядом с self-hosted Plane. Контекст задачи: ML pipeline.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",3,high,4,15,34,3,False,synthetic,2023-05-20T00:00:00,2023-05-28T00:00:00
TASK-0291,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — системы уведомлений,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: Plane integration.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",4,high,5,24,41,5,False,synthetic,2024-01-23T00:00:00,2024-02-10T00:00:00
TASK-0292,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить endpoint для статистики команды — экспорта данных,"Реализовать backend endpoint, который возвращает агрегированную статистику по задачам и загрузке команды. Контекст задачи: dashboard.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,high,4,26,26,0,False,synthetic,2023-08-18T00:00:00,2023-08-27T00:00:00
TASK-0293,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить таблицу истории назначений — пайплайна рекомендаций,"Подготовить структуру для хранения task_id, employee_id, outcome и quality metrics. Контекст задачи: notifications.",database_migration,"[""PostgreSQL""]","{""PostgreSQL"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,medium,5,33,43,2,True,synthetic,2024-08-17T00:00:00,2024-09-06T00:00:00
TASK-0294,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Собрать датасет пар задача-сотрудник — модуля командной загрузки,"Построить training_pairs.parquet с task features, employee features, pair features и success_label. Контекст задачи: dashboard.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",5,high,5,4,38,8,False,synthetic,2025-10-17T00:00:00,2025-10-24T00:00:00
TASK-0295,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Собрать отчёт по fairness рекомендаций — экспорта данных,"Проверить, не выбираются ли почти всегда senior и не игнорируются ли junior сотрудники. Контекст задачи: analytics.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",3,medium,3,9,28,6,False,synthetic,2026-03-06T00:00:00,2026-03-10T00:00:00
TASK-0296,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить запись комментария COMPASS AI в Plane — интеграции с Plane,Подготовить интеграционный метод для безопасной записи Markdown-комментария к задаче. Контекст задачи: dashboard.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",3,medium,3,8,26,7,False,synthetic,2026-06-16T00:00:00,2026-06-24T00:00:00
TASK-0297,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Подключить чтение work items из Plane — модуля командной загрузки,Получить список задач проекта через Plane API и привести ответ к внутреннему формату COMPASS AI. Контекст задачи: recommendation engine.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",3,urgent,4,51,27,2,True,synthetic,2026-06-11T00:00:00,2026-06-18T00:00:00
TASK-0298,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить проверку Plane API token — пайплайна рекомендаций,Сделать понятную диагностику ошибок авторизации и недоступности Plane API. Контекст задачи: data export.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",2,high,2,20,52,1,True,synthetic,2024-07-26T00:00:00,2024-07-29T00:00:00
TASK-0299,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — модуля безопасности,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: ML pipeline.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,high,5,34,36,0,False,synthetic,2023-08-24T00:00:00,2023-08-25T00:00:00
TASK-0300,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить integration test PlaneClient — модуля авторизации,"Проверить чтение проектов и задач, если задан PLANE_API_KEY. Контекст задачи: reporting.",testing_task,[],"{""API Design"": 2, ""Testing"": 4, ""documentation"": 2}",1,urgent,2,41,20,2,False,synthetic,2025-07-22T00:00:00,2025-07-22T00:00:00
TASK-0301,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Рефакторинг расчёта recommendation score — системы уведомлений,"Выделить отдельные функции для skill, workload, growth и risk score. Контекст задачи: audit logs.",refactoring,[],"{""System Design"": 3, ""Testing"": 3, ""code_review"": 3, ""documentation"": 2}",4,medium,4,55,26,2,False,synthetic,2024-11-25T00:00:00,2024-12-04T00:00:00
TASK-0302,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить text embeddings для описаний задач — модуля безопасности,Использовать multilingual sentence-transformer для векторизации title и description. Контекст задачи: ML pipeline.,ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",3,medium,2,53,31,4,True,synthetic,2024-05-29T00:00:00,2024-06-11T00:00:00
TASK-0303,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — модуля авторизации,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: billing.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",3,medium,3,36,49,7,False,synthetic,2024-05-25T00:00:00,2024-05-26T00:00:00
TASK-0304,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — модуля авторизации,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: audit logs.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",1,high,2,48,12,2,True,synthetic,2024-10-03T00:00:00,2024-10-16T00:00:00
TASK-0305,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Подключить чтение work items из Plane — аналитического dashboard,Получить список задач проекта через Plane API и привести ответ к внутреннему формату COMPASS AI. Контекст задачи: team workload.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",2,medium,2,32,45,6,True,synthetic,2024-08-27T00:00:00,2024-09-17T00:00:00
TASK-0306,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Собрать отчёт по fairness рекомендаций — системы отчётов,"Проверить, не выбираются ли почти всегда senior и не игнорируются ли junior сотрудники. Контекст задачи: analytics.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",4,high,4,51,21,4,False,synthetic,2025-11-19T00:00:00,2025-12-03T00:00:00
TASK-0307,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить тесты генерации сотрудников — экспорта данных,"Проверить уникальность employee_id, диапазоны workload и корректные уровни skills. Контекст задачи: fairness analysis.",testing_task,[],"{""API Design"": 2, ""Testing"": 4, ""documentation"": 2}",1,urgent,1,25,34,4,True,synthetic,2026-04-29T00:00:00,2026-05-16T00:00:00
TASK-0308,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить безопасную обработку API token — модуля безопасности,"Проверить, что Plane API token берётся из .env и не сохраняется в git. Контекст задачи: ML pipeline.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",3,high,3,18,43,4,False,synthetic,2024-03-12T00:00:00,2024-03-21T00:00:00
TASK-0309,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить endpoint для статистики команды — модуля командной загрузки,"Реализовать backend endpoint, который возвращает агрегированную статистику по задачам и загрузке команды. Контекст задачи: ML pipeline.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",3,high,4,43,34,1,False,synthetic,2025-07-28T00:00:00,2025-08-08T00:00:00
TASK-0310,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить экспорт аналитики в CSV — интеграции с Plane,"Сформировать CSV-отчёт по задачам, рекомендациям, загрузке и рискам. Контекст задачи: Plane integration.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",2,medium,3,10,40,0,False,synthetic,2023-01-29T00:00:00,2023-02-16T00:00:00
TASK-0311,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — интеграции с Plane,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: analytics.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,high,5,19,30,4,False,synthetic,2025-07-25T00:00:00,2025-07-29T00:00:00
TASK-0312,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить text embeddings для описаний задач — модуля авторизации,Использовать multilingual sentence-transformer для векторизации title и description. Контекст задачи: reporting.,ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",4,medium,5,33,34,0,True,synthetic,2023-01-28T00:00:00,2023-01-28T00:00:00
TASK-0313,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Добавить healthcheck для COMPASS API — модуля безопасности,Настроить endpoint и проверку доступности backend-сервиса. Контекст задачи: fairness analysis.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",3,urgent,4,13,46,7,False,synthetic,2023-10-05T00:00:00,2023-10-26T00:00:00
TASK-0314,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Описать локальный запуск проекта — интеграции с Plane,"Добавить документацию по запуску Plane, COMPASS API, dashboard и генерации данных. Контекст задачи: team workload.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",1,high,2,41,8,8,True,synthetic,2024-07-29T00:00:00,2024-08-10T00:00:00
TASK-0315,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — модуля безопасности,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: audit logs.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,high,5,14,36,5,False,synthetic,2026-01-26T00:00:00,2026-02-03T00:00:00
TASK-0316,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — аналитического dashboard,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: analytics.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,medium,3,57,36,4,False,synthetic,2024-10-14T00:00:00,2024-10-17T00:00:00
TASK-0317,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить экспорт аналитики в CSV — ML-пайплайна,"Сформировать CSV-отчёт по задачам, рекомендациям, загрузке и рискам. Контекст задачи: permissions.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",4,low,5,42,26,6,False,synthetic,2025-06-04T00:00:00,2025-06-20T00:00:00
TASK-0318,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить text embeddings для описаний задач — экспорта данных,Использовать multilingual sentence-transformer для векторизации title и description. Контекст задачи: recommendation engine.,ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",3,medium,4,21,42,1,False,synthetic,2025-04-29T00:00:00,2025-05-19T00:00:00
TASK-0319,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить график распределения workload — модуля командной загрузки,Построить график текущей загрузки команды и выделить перегруженных сотрудников. Контекст задачи: permissions.,analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",4,low,4,23,37,1,True,synthetic,2024-07-26T00:00:00,2024-08-04T00:00:00
TASK-0320,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — экспорта данных,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: fairness analysis.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,low,1,57,20,5,False,synthetic,2026-01-15T00:00:00,2026-01-31T00:00:00
TASK-0321,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Реализовать baseline для сравнения с нейросетью — модуля безопасности,"Собрать rule-based ranking, чтобы сравнивать ML-модель с понятной эвристикой. Контекст задачи: audit logs.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",4,medium,4,17,47,1,False,synthetic,2023-08-31T00:00:00,2023-09-17T00:00:00
TASK-0322,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить запись комментария COMPASS AI в Plane — модуля командной загрузки,Подготовить интеграционный метод для безопасной записи Markdown-комментария к задаче. Контекст задачи: audit logs.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",2,high,2,49,35,2,False,synthetic,2025-05-06T00:00:00,2025-05-06T00:00:00
TASK-0323,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — модуля командной загрузки,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: analytics.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",2,medium,3,57,14,5,True,synthetic,2025-10-10T00:00:00,2025-10-14T00:00:00
TASK-0324,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить проверку Plane API token — экспорта данных,Сделать понятную диагностику ошибок авторизации и недоступности Plane API. Контекст задачи: team workload.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",3,medium,3,1,35,5,False,synthetic,2023-02-03T00:00:00,2023-02-13T00:00:00
TASK-0325,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Добавить healthcheck для COMPASS API — аналитического dashboard,Настроить endpoint и проверку доступности backend-сервиса. Контекст задачи: team workload.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",5,low,5,45,37,2,False,synthetic,2024-04-23T00:00:00,2024-05-10T00:00:00
TASK-0326,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить фильтрацию задач по статусу — модуля авторизации,"Расширить API задач фильтрами по статусу, приоритету и исполнителю. Контекст задачи: ML pipeline.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,low,2,35,26,2,False,synthetic,2025-10-12T00:00:00,2025-10-13T00:00:00
TASK-0327,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — интеграции с Plane,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: model metrics.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,low,5,19,42,7,True,synthetic,2023-11-04T00:00:00,2023-11-15T00:00:00
TASK-0328,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Реализовать фильтр задач на dashboard — интеграции с Plane,"Добавить фильтры по проекту, статусу, приоритету и recommended assignee. Контекст задачи: permissions.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",2,high,2,44,36,1,False,synthetic,2025-08-17T00:00:00,2025-09-04T00:00:00
TASK-0329,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Собрать отчёт по fairness рекомендаций — пайплайна рекомендаций,"Проверить, не выбираются ли почти всегда senior и не игнорируются ли junior сотрудники. Контекст задачи: team workload.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",2,low,1,38,37,4,True,synthetic,2023-10-19T00:00:00,2023-11-04T00:00:00
TASK-0330,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Разделить генератор данных на независимые шаги — интеграции с Plane,"Сделать генерацию сотрудников, задач и назначений независимой и воспроизводимой. Контекст задачи: audit logs.",refactoring,[],"{""System Design"": 3, ""Testing"": 3, ""code_review"": 3, ""documentation"": 2}",3,high,4,29,29,6,False,synthetic,2025-06-06T00:00:00,2025-06-11T00:00:00
TASK-0331,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Разделить генератор данных на независимые шаги — пайплайна рекомендаций,"Сделать генерацию сотрудников, задач и назначений независимой и воспроизводимой. Контекст задачи: reporting.",refactoring,[],"{""System Design"": 3, ""Testing"": 3, ""code_review"": 3, ""documentation"": 2}",3,high,3,26,29,3,False,synthetic,2026-02-25T00:00:00,2026-03-02T00:00:00
TASK-0332,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Рефакторинг расчёта recommendation score — пайплайна рекомендаций,"Выделить отдельные функции для skill, workload, growth и risk score. Контекст задачи: data export.",refactoring,[],"{""System Design"": 3, ""Testing"": 3, ""code_review"": 3, ""documentation"": 2}",4,medium,4,33,40,3,True,synthetic,2024-07-11T00:00:00,2024-07-17T00:00:00
